,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,54.1,99,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,53.1,57,-1.0,▼,-1.0,-1.8,-42.0,57.0
2,2020-01-15,53.4,88,0.3,▲,0.0,0.6,31.0,145.0
3,2020-01-16,52.8,46,-0.6,▼,-1.0,-1.1,-42.0,191.0
4,2020-01-17,52.0,80,-0.8,▼,-2.0,-1.5,34.0,271.0
5,2020-01-18,51.3,112,-0.7,▼,-3.0,-1.3,32.0,383.0
6,2020-01-19,51.0,109,-0.3,▼,-4.0,-0.6,-3.0,492.0
7,2020-01-20,50.6,99,-0.4,▼,-5.0,-0.8,-10.0,591.0
8,2020-01-21,51.9,91,1.3,▲,-4.0,2.6,-8.0,682.0
9,2020-01-22,52.5,68,0.6,▲,-3.0,1.2,-23.0,750.0
10,2020-01-23,52.8,70,0.3,▲,-2.0,0.6,2.0,820.0
11,2020-01-24,54.6,72,1.8,▲,-1.0,3.4,2.0,892.0
12,2020-01-25,55.2,87,0.6,▲,0.0,1.1,15.0,979.0
13,2020-01-26,54.9,92,-0.3,▼,-1.0,-0.5,5.0,1071.0
14,2020-01-27,55.6,79,0.7,▲,0.0,1.3,-13.0,1150.0
15,2020-01-28,55.0,76,-0.6,▼,-1.0,-1.1,-3.0,1226.0
16,2020-01-29,53.5,90,-1.5,▼,-2.0,-2.7,14.0,1316.0
17,2020-01-30,52.4,80,-1.1,▼,-3.0,-2.1,-10.0,1396.0
18,2020-01-31,51.1,61,-1.3,▼,-4.0,-2.5,-19.0,1457.0
19,2020-02-01,49.7,122,-1.4,▼,-5.0,-2.7,61.0,1579.0
20,2020-02-02,49.8,90,0.1,▲,-4.0,0.2,-32.0,1669.0
21,2020-02-03,49.5,61,-0.3,▼,-5.0,-0.6,-29.0,1730.0
22,2020-02-04,48.8,85,-0.7,▼,-6.0,-1.4,24.0,1815.0
23,2020-02-05,49.1,80,0.3,▲,-5.0,0.6,-5.0,1895.0
24,2020-02-06,49.5,81,0.4,▲,-4.0,0.8,1.0,1976.0
25,2020-02-07,49.4,105,-0.1,▼,-5.0,-0.2,24.0,2081.0
26,2020-02-08,49.7,76,0.3,▲,-4.0,0.6,-29.0,2157.0
27,2020-02-09,49.9,89,0.2,▲,-3.0,0.4,13.0,2246.0
28,2020-02-10,50.1,83,0.2,▲,-2.0,0.4,-6.0,2329.0
29,2020-02-11,51.0,83,0.9,▲,-1.0,1.8,0.0,2412.0
30,2020-02-12,51.6,87,0.6,▲,0.0,1.2,4.0,2499.0
31,2020-02-13,51.2,75,-0.4,▼,-1.0,-0.8,-12.0,2574.0
32,2020-02-14,50.8,110,-0.4,▼,-2.0,-0.8,35.0,2684.0
33,2020-02-15,51.1,147,0.3,▲,-1.0,0.6,37.0,2831.0
34,2020-02-16,51.6,138,0.5,▲,0.0,1.0,-9.0,2969.0
35,2020-02-17,52.6,94,1.0,▲,1.0,1.9,-44.0,3063.0
36,2020-02-18,54.9,80,2.3,▲,2.0,4.4,-14.0,3143.0
37,2020-02-19,57.1,52,2.2,▲,3.0,4.0,-28.0,3195.0
38,2020-02-20,58.5,77,1.4,▲,4.0,2.5,25.0,3272.0
39,2020-02-21,58.6,85,0.1,▲,5.0,0.2,8.0,3357.0
40,2020-02-22,58.1,91,-0.5,▼,4.0,-0.9,6.0,3448.0
41,2020-02-23,57.1,93,-1.0,▼,3.0,-1.7,2.0,3541.0
42,2020-02-24,56.6,69,-0.5,▼,2.0,-0.9,-24.0,3610.0
43,2020-02-25,55.2,59,-1.4,▼,1.0,-2.5,-10.0,3669.0
44,2020-02-26,53.7,63,-1.5,▼,0.0,-2.7,4.0,3732.0
45,2020-02-27,52.5,67,-1.2,▼,-1.0,-2.2,4.0,3799.0
46,2020-02-28,51.6,53,-0.9,▼,-2.0,-1.7,-14.0,3852.0
47,2020-02-29,49.7,95,-1.9,▼,-3.0,-3.7,42.0,3947.0
48,2020-03-01,48.9,81,-0.8,▼,-4.0,-1.6,-14.0,4028.0
49,2020-03-02,48.9,72,0.0,-,-4.0,0.0,-9.0,4100.0
50,2020-03-03,48.9,55,0.0,-,-4.0,0.0,-17.0,4155.0
51,2020-03-04,48.9,65,0.0,-,-4.0,0.0,10.0,4220.0
52,2020-03-05,49.5,53,0.6,▲,-3.0,1.2,-12.0,4273.0
53,2020-03-06,49.8,69,0.3,▲,-2.0,0.6,16.0,4342.0
54,2020-03-07,50.3,150,0.5,▲,-1.0,1.0,81.0,4492.0
55,2020-03-08,51.8,137,1.5,▲,0.0,3.0,-13.0,4629.0
56,2020-03-09,52.8,110,1.0,▲,1.0,1.9,-27.0,4739.0
57,2020-03-10,53.3,87,0.5,▲,2.0,0.9,-23.0,4826.0
58,2020-03-11,53.4,85,0.1,▲,3.0,0.2,-2.0,4911.0
59,2020-03-12,52.9,72,-0.5,▼,2.0,-0.9,-13.0,4983.0
60,2020-03-13,52.0,120,-0.9,▼,1.0,-1.7,48.0,5103.0
61,2020-03-14,50.9,137,-1.1,▼,0.0,-2.1,17.0,5240.0
