,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-08-18,9.2,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-08-21,9.0,1,-0.2,▼,-1.0,-2.2,-1.0,1.0
2,2020-08-23,9.1,1,0.1,▲,0.0,1.1,0.0,2.0
3,2020-08-24,9.0,2,-0.1,▼,-1.0,-1.1,1.0,4.0
4,2020-08-26,9.0,1,0.0,-,-1.0,0.0,-1.0,5.0
5,2020-08-27,9.7,1,0.7,▲,0.0,7.8,0.0,6.0
6,2020-08-29,9.6,4,-0.1,▼,-1.0,-1.0,3.0,10.0
7,2020-08-30,9.1,3,-0.5,▼,-2.0,-5.2,-1.0,13.0
8,2020-08-31,9.0,1,-0.1,▼,-3.0,-1.1,-2.0,14.0
9,2020-09-02,9.0,2,0.0,-,-3.0,0.0,1.0,16.0
10,2020-09-03,9.0,1,0.0,-,-3.0,0.0,-1.0,17.0
11,2020-09-04,9.0,2,0.0,-,-3.0,0.0,1.0,19.0
12,2020-09-05,9.4,4,0.4,▲,-2.0,4.4,2.0,23.0
13,2020-09-06,9.6,1,0.2,▲,-1.0,2.1,-3.0,24.0
14,2020-09-07,9.4,1,-0.2,▼,-2.0,-2.1,0.0,25.0
15,2020-09-10,10.4,1,1.0,▲,-1.0,10.6,0.0,26.0
16,2020-09-11,10.6,4,0.2,▲,0.0,1.9,3.0,30.0
17,2020-09-12,10.7,1,0.1,▲,1.0,0.9,-3.0,31.0
18,2020-09-13,10.3,8,-0.4,▼,0.0,-3.7,7.0,39.0
19,2020-09-14,10.3,1,0.0,-,0.0,0.0,-7.0,40.0
20,2020-09-17,9.3,1,-1.0,▼,-1.0,-9.7,0.0,41.0
21,2020-09-20,9.4,4,0.1,▲,0.0,1.1,3.0,45.0
22,2020-09-22,9.4,2,0.0,-,0.0,0.0,-2.0,47.0
23,2020-09-23,9.8,1,0.4,▲,1.0,4.3,-1.0,48.0
24,2020-09-24,9.8,1,0.0,-,1.0,0.0,0.0,49.0
25,2020-09-25,9.4,2,-0.4,▼,0.0,-4.1,1.0,51.0
26,2020-09-26,9.4,3,0.0,-,0.0,0.0,1.0,54.0
27,2020-09-27,8.8,3,-0.6,▼,-1.0,-6.4,0.0,57.0
28,2020-09-28,9.3,3,0.5,▲,0.0,5.7,0.0,60.0
29,2020-09-29,9.5,1,0.2,▲,1.0,2.2,-2.0,61.0
30,2020-09-30,10.2,2,0.7,▲,2.0,7.4,1.0,63.0
31,2020-10-01,10.2,1,0.0,-,2.0,0.0,-1.0,64.0
32,2020-10-02,10.6,1,0.4,▲,3.0,3.9,0.0,65.0
33,2020-10-04,10.1,1,-0.5,▼,2.0,-4.7,0.0,66.0
34,2020-10-06,9.9,3,-0.2,▼,1.0,-2.0,2.0,69.0
35,2020-10-09,9.5,3,-0.4,▼,0.0,-4.0,0.0,72.0
36,2020-10-12,9.3,2,-0.2,▼,-1.0,-2.1,-1.0,74.0
37,2020-10-13,10.0,6,0.7,▲,0.0,7.5,4.0,80.0
38,2020-10-14,10.7,4,0.7,▲,1.0,7.0,-2.0,84.0
39,2020-10-15,11.9,2,1.2,▲,2.0,11.2,-2.0,86.0
40,2020-10-16,12.5,2,0.6,▲,3.0,5.0,0.0,88.0
41,2020-10-17,12.6,3,0.1,▲,4.0,0.8,1.0,91.0
42,2020-10-19,12.3,2,-0.3,▼,3.0,-2.4,-1.0,93.0
43,2020-10-22,11.6,2,-0.7,▼,2.0,-5.7,0.0,95.0
44,2020-10-23,10.6,1,-1.0,▼,1.0,-8.6,-1.0,96.0
45,2020-10-25,9.9,1,-0.7,▼,0.0,-6.6,0.0,97.0
46,2020-10-26,9.8,1,-0.1,▼,-1.0,-1.0,0.0,98.0
47,2020-10-27,9.7,3,-0.1,▼,-2.0,-1.0,2.0,101.0
48,2020-10-28,10.2,11,0.5,▲,-1.0,5.2,8.0,112.0
49,2020-10-29,10.2,1,0.0,-,-1.0,0.0,-10.0,113.0
50,2020-10-31,10.4,1,0.2,▲,0.0,2.0,0.0,114.0
51,2020-11-01,11.6,1,1.2,▲,1.0,11.5,0.0,115.0
52,2020-11-02,13.1,1,1.5,▲,2.0,12.9,0.0,116.0
53,2020-11-03,14.1,4,1.0,▲,3.0,7.6,3.0,120.0
54,2020-11-05,14.8,2,0.7,▲,4.0,5.0,-2.0,122.0
55,2020-11-06,15.3,3,0.5,▲,5.0,3.4,1.0,125.0
