,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-04-27,2.7,7,0.0,-,0.0,0.0
1,2020-04-28,3.1,3,0.4,▲,1.0,14.8
2,2020-05-01,3.2,2,0.1,▲,2.0,3.2
3,2020-05-02,3.3,4,0.1,▲,3.0,3.1
4,2020-05-03,3.5,6,0.2,▲,4.0,6.1
5,2020-05-04,3.0,2,-0.5,▼,3.0,-14.3
6,2020-05-05,2.8,1,-0.2,▼,2.0,-6.7
7,2020-05-06,2.4,1,-0.4,▼,1.0,-14.3
8,2020-05-07,2.7,1,0.3,▲,2.0,12.5
9,2020-05-09,2.6,1,-0.1,▼,1.0,-3.7
10,2020-05-10,3.0,6,0.4,▲,2.0,15.4
11,2020-05-11,3.0,2,0.0,-,2.0,0.0
12,2020-05-12,3.4,5,0.4,▲,3.0,13.3
13,2020-05-13,2.9,2,-0.5,▼,2.0,-14.7
14,2020-05-16,2.8,2,-0.1,▼,1.0,-3.4
15,2020-05-17,2.6,1,-0.2,▼,0.0,-7.1
16,2020-05-18,2.6,3,0.0,-,0.0,0.0
17,2020-05-19,2.1,3,-0.5,▼,-1.0,-19.2
18,2020-05-20,2.0,4,-0.1,▼,-2.0,-4.8
19,2020-05-21,2.0,3,0.0,-,-2.0,0.0
20,2020-05-22,2.1,2,0.1,▲,-1.0,5.0
21,2020-05-23,2.0,3,-0.1,▼,-2.0,-4.8
22,2020-05-24,2.2,4,0.2,▲,-1.0,10.0
23,2020-05-25,2.4,1,0.2,▲,0.0,9.1
24,2020-05-26,2.3,1,-0.1,▼,-1.0,-4.2
25,2020-05-27,2.4,3,0.1,▲,0.0,4.3
26,2020-05-28,2.3,2,-0.1,▼,-1.0,-4.2
27,2020-05-31,2.3,3,0.0,-,-1.0,0.0
28,2020-06-01,2.1,3,-0.2,▼,-2.0,-8.7
29,2020-06-02,2.2,2,0.1,▲,-1.0,4.8
30,2020-06-04,2.1,4,-0.1,▼,-2.0,-4.5
31,2020-06-05,2.4,2,0.3,▲,-1.0,14.3
32,2020-06-07,2.5,6,0.1,▲,0.0,4.2
33,2020-06-08,2.7,3,0.2,▲,1.0,8.0
34,2020-06-09,2.7,2,0.0,-,1.0,0.0
35,2020-06-11,2.5,3,-0.2,▼,0.0,-7.4
36,2020-06-12,2.2,1,-0.3,▼,-1.0,-12.0
37,2020-06-13,2.0,1,-0.2,▼,-2.0,-9.1
38,2020-06-14,1.7,4,-0.3,▼,-3.0,-15.0
39,2020-06-15,1.5,2,-0.2,▼,-4.0,-11.8
40,2020-06-17,1.7,4,0.2,▲,-3.0,13.3
41,2020-06-19,1.9,2,0.2,▲,-2.0,11.8
42,2020-06-20,1.7,3,-0.2,▼,-3.0,-10.5
43,2020-06-21,1.6,1,-0.1,▼,-4.0,-5.9
44,2020-06-22,1.5,1,-0.1,▼,-5.0,-6.2
45,2020-06-23,1.3,2,-0.2,▼,-6.0,-13.3
46,2020-06-24,1.1,4,-0.2,▼,-7.0,-15.4
47,2020-06-25,1.2,3,0.1,▲,-6.0,9.1
48,2020-06-26,1.3,2,0.1,▲,-5.0,8.3
49,2020-06-30,1.3,1,0.0,-,-5.0,0.0
50,2020-07-01,1.2,1,-0.1,▼,-6.0,-7.7
51,2020-07-04,1.4,1,0.2,▲,-5.0,16.7
52,2020-07-05,1.3,1,-0.1,▼,-6.0,-7.1
53,2020-07-09,1.4,4,0.1,▲,-5.0,7.7
54,2020-07-10,1.6,1,0.2,▲,-4.0,14.3
55,2020-07-11,1.7,2,0.1,▲,-3.0,6.2
56,2020-07-13,1.7,1,0.0,-,-3.0,0.0
57,2020-07-14,2.0,3,0.3,▲,-2.0,17.6
58,2020-07-15,2.0,3,0.0,-,-2.0,0.0
59,2020-07-16,2.0,1,0.0,-,-2.0,0.0
60,2020-07-18,2.3,1,0.3,▲,-1.0,15.0
61,2020-07-19,2.5,1,0.2,▲,0.0,8.7
62,2020-07-22,2.4,1,-0.1,▼,-1.0,-4.0
63,2020-07-23,2.4,1,0.0,-,-1.0,0.0
64,2020-07-24,2.6,2,0.2,▲,0.0,8.3
65,2020-07-26,2.6,1,0.0,-,0.0,0.0
66,2020-07-29,2.4,3,-0.2,▼,-1.0,-7.7
67,2020-07-30,2.8,2,0.4,▲,0.0,16.7
68,2020-07-31,3.0,1,0.2,▲,1.0,7.1
69,2020-08-01,3.0,2,0.0,-,1.0,0.0
70,2020-08-02,2.8,4,-0.2,▼,0.0,-6.7
71,2020-08-03,3.0,5,0.2,▲,1.0,7.1
72,2020-08-04,2.7,3,-0.3,▼,0.0,-10.0
73,2020-08-05,2.7,9,0.0,-,0.0,0.0
74,2020-08-06,2.8,4,0.1,▲,1.0,3.7
75,2020-08-07,2.6,1,-0.2,▼,0.0,-7.1
76,2020-08-08,2.4,1,-0.2,▼,-1.0,-7.7
77,2020-08-09,2.5,6,0.1,▲,0.0,4.2
78,2020-08-10,2.2,2,-0.3,▼,-1.0,-12.0
79,2020-08-12,1.9,1,-0.3,▼,-2.0,-13.6
80,2020-08-13,2.0,3,0.1,▲,-1.0,5.3
81,2020-08-14,2.1,2,0.1,▲,0.0,5.0
82,2020-08-15,2.4,6,0.3,▲,1.0,14.3
83,2020-08-17,2.5,1,0.1,▲,2.0,4.2
84,2020-08-19,2.3,1,-0.2,▼,1.0,-8.0
85,2020-08-21,2.8,1,0.5,▲,2.0,21.7
86,2020-08-22,2.7,5,-0.1,▼,1.0,-3.6
87,2020-08-24,2.2,4,-0.5,▼,0.0,-18.5
88,2020-08-25,2.4,5,0.2,▲,1.0,9.1
89,2020-08-26,2.8,3,0.4,▲,2.0,16.7
90,2020-08-27,2.4,5,-0.4,▼,1.0,-14.3
91,2020-08-29,2.4,2,0.0,-,1.0,0.0
92,2020-08-30,2.6,2,0.2,▲,2.0,8.3
93,2020-08-31,2.6,1,0.0,-,2.0,0.0
94,2020-09-01,2.5,3,-0.1,▼,1.0,-3.8
95,2020-09-02,2.5,1,0.0,-,1.0,0.0
96,2020-09-04,2.3,1,-0.2,▼,0.0,-8.0
97,2020-09-06,1.9,3,-0.4,▼,-1.0,-17.4
98,2020-09-07,1.9,3,0.0,-,-1.0,0.0
99,2020-09-08,1.6,2,-0.3,▼,-2.0,-15.8
100,2020-09-09,1.4,1,-0.2,▼,-3.0,-12.5
101,2020-09-10,1.6,4,0.2,▲,-2.0,14.3
102,2020-09-11,1.8,1,0.2,▲,-1.0,12.5
103,2020-09-12,1.6,1,-0.2,▼,-2.0,-11.1
104,2020-09-13,1.8,4,0.2,▲,-1.0,12.5
105,2020-09-14,2.2,5,0.4,▲,0.0,22.2
106,2020-09-16,2.6,3,0.4,▲,1.0,18.2
107,2020-09-18,2.6,1,0.0,-,1.0,0.0
108,2020-09-19,3.0,6,0.4,▲,2.0,15.4
109,2020-09-20,3.0,1,0.0,-,2.0,0.0
110,2020-09-21,3.0,1,0.0,-,2.0,0.0
111,2020-09-22,2.4,1,-0.6,▼,1.0,-20.0
112,2020-09-23,2.4,1,0.0,-,1.0,0.0
113,2020-09-24,2.0,5,-0.4,▼,0.0,-16.7
114,2020-09-25,1.8,1,-0.2,▼,-1.0,-10.0
115,2020-09-27,1.6,1,-0.2,▼,-2.0,-11.1
116,2020-09-29,2.0,1,0.4,▲,-1.0,25.0
117,2020-09-30,2.0,1,0.0,-,-1.0,0.0
118,2020-10-01,2.2,1,0.2,▲,0.0,10.0
119,2020-10-02,2.8,1,0.6,▲,1.0,27.3
