,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-01-13,45.6,69,0.0,-,0.0,0.0
1,2020-01-14,44.3,69,-1.3,▼,-1.0,-2.9
2,2020-01-15,44.7,75,0.4,▲,0.0,0.9
3,2020-01-16,46.0,56,1.3,▲,1.0,2.9
4,2020-01-17,46.5,64,0.5,▲,2.0,1.1
5,2020-01-18,46.5,81,0.0,-,2.0,0.0
6,2020-01-19,47.7,54,1.2,▲,3.0,2.6
7,2020-01-20,47.1,72,-0.6,▼,2.0,-1.3
8,2020-01-21,47.1,37,0.0,-,2.0,0.0
9,2020-01-22,47.9,58,0.8,▲,3.0,1.7
10,2020-01-23,48.5,55,0.6,▲,4.0,1.3
11,2020-01-24,48.8,56,0.3,▲,5.0,0.6
12,2020-01-25,49.9,71,1.1,▲,6.0,2.3
13,2020-01-26,49.9,55,0.0,-,6.0,0.0
14,2020-01-27,49.7,39,-0.2,▼,5.0,-0.4
15,2020-01-28,49.7,55,0.0,-,5.0,0.0
16,2020-01-29,49.5,29,-0.2,▼,4.0,-0.4
17,2020-01-30,49.6,61,0.1,▲,5.0,0.2
18,2020-01-31,48.6,67,-1.0,▼,4.0,-2.0
19,2020-02-01,48.2,77,-0.4,▼,3.0,-0.8
20,2020-02-02,46.9,61,-1.3,▼,2.0,-2.7
21,2020-02-03,46.8,40,-0.1,▼,1.0,-0.2
22,2020-02-04,46.3,62,-0.5,▼,0.0,-1.1
23,2020-02-05,47.1,64,0.8,▲,1.0,1.7
24,2020-02-06,47.7,65,0.6,▲,2.0,1.3
25,2020-02-07,48.7,50,1.0,▲,3.0,2.1
26,2020-02-08,48.7,50,0.0,-,3.0,0.0
27,2020-02-09,48.9,59,0.2,▲,4.0,0.4
28,2020-02-10,48.8,43,-0.1,▼,3.0,-0.2
29,2020-02-11,48.6,56,-0.2,▼,2.0,-0.4
30,2020-02-12,48.2,82,-0.4,▼,1.0,-0.8
31,2020-02-13,48.3,60,0.1,▲,2.0,0.2
32,2020-02-14,47.4,79,-0.9,▼,1.0,-1.9
33,2020-02-15,46.1,114,-1.3,▼,0.0,-2.7
34,2020-02-16,45.3,149,-0.8,▼,-1.0,-1.7
35,2020-02-17,46.0,79,0.7,▲,0.0,1.5
36,2020-02-18,46.1,61,0.1,▲,1.0,0.2
37,2020-02-19,47.1,39,1.0,▲,2.0,2.2
38,2020-02-20,48.5,52,1.4,▲,3.0,3.0
39,2020-02-21,49.5,85,1.0,▲,4.0,2.1
40,2020-02-22,49.6,47,0.1,▲,5.0,0.2
41,2020-02-23,49.6,83,0.0,-,5.0,0.0
42,2020-02-24,49.7,76,0.1,▲,6.0,0.2
43,2020-02-25,49.9,72,0.2,▲,7.0,0.4
44,2020-02-26,49.9,47,0.0,-,7.0,0.0
45,2020-02-27,49.6,41,-0.3,▼,6.0,-0.6
46,2020-02-28,49.2,52,-0.4,▼,5.0,-0.8
47,2020-02-29,48.8,79,-0.4,▼,4.0,-0.8
48,2020-03-01,47.8,81,-1.0,▼,3.0,-2.0
49,2020-03-02,47.1,48,-0.7,▼,2.0,-1.5
50,2020-03-03,47.0,39,-0.1,▼,1.0,-0.2
51,2020-03-04,47.4,60,0.4,▲,2.0,0.9
52,2020-03-05,47.4,51,0.0,-,2.0,0.0
53,2020-03-06,48.4,79,1.0,▲,3.0,2.1
54,2020-03-07,49.1,65,0.7,▲,4.0,1.4
55,2020-03-08,49.3,80,0.2,▲,5.0,0.4
56,2020-03-09,49.4,102,0.1,▲,6.0,0.2
57,2020-03-10,49.6,44,0.2,▲,7.0,0.4
58,2020-03-11,49.4,44,-0.2,▼,6.0,-0.4
59,2020-03-12,49.2,52,-0.2,▼,5.0,-0.4
60,2020-03-13,48.7,65,-0.5,▼,4.0,-1.0
61,2020-03-14,48.6,100,-0.1,▼,3.0,-0.2
62,2020-03-15,48.7,69,0.1,▲,4.0,0.2
63,2020-03-16,48.4,82,-0.3,▼,3.0,-0.6
64,2020-03-17,47.5,85,-0.9,▼,2.0,-1.9
65,2020-03-18,47.5,74,0.0,-,2.0,0.0
66,2020-03-19,47.3,52,-0.2,▼,1.0,-0.4
67,2020-03-20,46.2,90,-1.1,▼,0.0,-2.3
68,2020-03-21,46.1,106,-0.1,▼,-1.0,-0.2
69,2020-03-22,45.7,88,-0.4,▼,-2.0,-0.9
70,2020-03-23,45.3,90,-0.4,▼,-3.0,-0.9
71,2020-03-24,44.6,95,-0.7,▼,-4.0,-1.5
72,2020-03-25,44.7,79,0.1,▲,-3.0,0.2
73,2020-03-26,44.1,82,-0.6,▼,-4.0,-1.3
74,2020-03-27,44.1,80,0.0,-,-4.0,0.0
75,2020-03-28,44.0,110,-0.1,▼,-5.0,-0.2
76,2020-03-29,43.5,130,-0.5,▼,-6.0,-1.1
77,2020-03-30,43.7,109,0.2,▲,-5.0,0.5
78,2020-03-31,43.4,106,-0.3,▼,-6.0,-0.7
79,2020-04-01,42.9,87,-0.5,▼,-7.0,-1.2
80,2020-04-02,41.7,89,-1.2,▼,-8.0,-2.8
81,2020-04-03,40.9,87,-0.8,▼,-9.0,-1.9
82,2020-04-04,39.7,110,-1.2,▼,-10.0,-2.9
83,2020-04-05,39.0,136,-0.7,▼,-11.0,-1.8
84,2020-04-06,38.0,136,-1.0,▼,-12.0,-2.6
85,2020-04-07,37.3,124,-0.7,▼,-13.0,-1.8
86,2020-04-08,36.5,108,-0.8,▼,-14.0,-2.1
87,2020-04-09,36.0,103,-0.5,▼,-15.0,-1.4
88,2020-04-10,35.4,111,-0.6,▼,-16.0,-1.7
89,2020-04-11,35.3,122,-0.1,▼,-17.0,-0.3
90,2020-04-12,35.3,119,0.0,-,-17.0,0.0
91,2020-04-13,35.3,121,0.0,-,-17.0,0.0
92,2020-04-14,35.2,98,-0.1,▼,-18.0,-0.3
93,2020-04-15,35.3,109,0.1,▲,-17.0,0.3
94,2020-04-16,35.8,124,0.5,▲,-16.0,1.4
95,2020-04-17,36.2,99,0.4,▲,-15.0,1.1
96,2020-04-18,36.8,120,0.6,▲,-14.0,1.7
97,2020-04-19,36.9,111,0.1,▲,-13.0,0.3
98,2020-04-20,37.3,59,0.4,▲,-12.0,1.1
99,2020-04-21,36.9,101,-0.4,▼,-13.0,-1.1
100,2020-04-22,36.0,102,-0.9,▼,-14.0,-2.4
101,2020-04-23,35.5,135,-0.5,▼,-15.0,-1.4
102,2020-04-24,35.1,105,-0.4,▼,-16.0,-1.1
103,2020-04-25,34.3,77,-0.8,▼,-17.0,-2.3
104,2020-04-26,34.3,85,0.0,-,-17.0,0.0
105,2020-04-27,34.8,69,0.5,▲,-16.0,1.5
106,2020-04-28,34.6,113,-0.2,▼,-17.0,-0.6
107,2020-04-29,34.7,106,0.1,▲,-16.0,0.3
108,2020-04-30,34.6,97,-0.1,▼,-17.0,-0.3
109,2020-05-01,34.0,100,-0.6,▼,-18.0,-1.7
110,2020-05-02,33.5,113,-0.5,▼,-19.0,-1.5
111,2020-05-03,33.7,117,0.2,▲,-18.0,0.6
112,2020-05-04,33.5,94,-0.2,▼,-19.0,-0.6
