,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-27,36.5,17,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-28,36.0,22,-0.5,▼,-1.0,-1.4,5.0,22.0
2,2020-04-29,35.8,28,-0.2,▼,-2.0,-0.6,6.0,50.0
3,2020-04-30,35.8,25,0.0,-,-2.0,0.0,-3.0,75.0
4,2020-05-01,34.7,14,-1.1,▼,-3.0,-3.1,-11.0,89.0
5,2020-05-02,33.4,14,-1.3,▼,-4.0,-3.7,0.0,103.0
6,2020-05-03,33.8,17,0.4,▲,-3.0,1.2,3.0,120.0
7,2020-05-04,32.3,23,-1.5,▼,-4.0,-4.4,6.0,143.0
8,2020-05-05,31.4,11,-0.9,▼,-5.0,-2.8,-12.0,154.0
9,2020-05-06,31.1,21,-0.3,▼,-6.0,-1.0,10.0,175.0
10,2020-05-07,30.5,25,-0.6,▼,-7.0,-1.9,4.0,200.0
11,2020-05-08,29.3,24,-1.2,▼,-8.0,-3.9,-1.0,224.0
12,2020-05-09,30.1,18,0.8,▲,-7.0,2.7,-6.0,242.0
13,2020-05-10,30.5,25,0.4,▲,-6.0,1.3,7.0,267.0
14,2020-05-11,30.0,23,-0.5,▼,-7.0,-1.6,-2.0,290.0
15,2020-05-12,31.0,22,1.0,▲,-6.0,3.3,-1.0,312.0
16,2020-05-13,31.8,18,0.8,▲,-5.0,2.6,-4.0,330.0
17,2020-05-14,31.4,21,-0.4,▼,-6.0,-1.3,3.0,351.0
18,2020-05-15,31.0,18,-0.4,▼,-7.0,-1.3,-3.0,369.0
19,2020-05-16,30.9,13,-0.1,▼,-8.0,-0.3,-5.0,382.0
20,2020-05-17,30.4,15,-0.5,▼,-9.0,-1.6,2.0,397.0
21,2020-05-18,29.9,17,-0.5,▼,-10.0,-1.6,2.0,414.0
22,2020-05-19,29.9,31,0.0,-,-10.0,0.0,14.0,445.0
23,2020-05-20,29.3,16,-0.6,▼,-11.0,-2.0,-15.0,461.0
24,2020-05-21,28.9,26,-0.4,▼,-12.0,-1.4,10.0,487.0
25,2020-05-22,28.4,15,-0.5,▼,-13.0,-1.7,-11.0,502.0
26,2020-05-23,27.9,29,-0.5,▼,-14.0,-1.8,14.0,531.0
27,2020-05-24,27.8,12,-0.1,▼,-15.0,-0.4,-17.0,543.0
28,2020-05-25,29.2,28,1.4,▲,-14.0,5.0,16.0,571.0
29,2020-05-26,29.7,18,0.5,▲,-13.0,1.7,-10.0,589.0
30,2020-05-27,30.1,10,0.4,▲,-12.0,1.3,-8.0,599.0
31,2020-05-28,30.1,20,0.0,-,-12.0,0.0,10.0,619.0
32,2020-05-29,30.2,14,0.1,▲,-11.0,0.3,-6.0,633.0
33,2020-05-30,28.7,12,-1.5,▼,-12.0,-5.0,-2.0,645.0
34,2020-05-31,28.5,11,-0.2,▼,-13.0,-0.7,-1.0,656.0
35,2020-06-01,28.5,16,0.0,-,-13.0,0.0,5.0,672.0
36,2020-06-02,28.8,12,0.3,▲,-12.0,1.1,-4.0,684.0
37,2020-06-03,29.0,10,0.2,▲,-11.0,0.7,-2.0,694.0
38,2020-06-04,29.4,12,0.4,▲,-10.0,1.4,2.0,706.0
39,2020-06-05,29.1,18,-0.3,▼,-11.0,-1.0,6.0,724.0
40,2020-06-06,28.7,10,-0.4,▼,-12.0,-1.4,-8.0,734.0
41,2020-06-07,28.3,22,-0.4,▼,-13.0,-1.4,12.0,756.0
42,2020-06-08,28.0,11,-0.3,▼,-14.0,-1.1,-11.0,767.0
43,2020-06-09,27.7,17,-0.3,▼,-15.0,-1.1,6.0,784.0
44,2020-06-10,28.0,8,0.3,▲,-14.0,1.1,-9.0,792.0
45,2020-06-11,28.0,12,0.0,-,-14.0,0.0,4.0,804.0
46,2020-06-12,28.3,12,0.3,▲,-13.0,1.1,0.0,816.0
47,2020-06-13,27.9,12,-0.4,▼,-14.0,-1.4,0.0,828.0
48,2020-06-14,27.7,16,-0.2,▼,-15.0,-0.7,4.0,844.0
49,2020-06-15,27.4,9,-0.3,▼,-16.0,-1.1,-7.0,853.0
50,2020-06-16,26.9,17,-0.5,▼,-17.0,-1.8,8.0,870.0
51,2020-06-17,26.2,23,-0.7,▼,-18.0,-2.6,6.0,893.0
52,2020-06-18,25.6,25,-0.6,▼,-19.0,-2.3,2.0,918.0
53,2020-06-19,25.4,16,-0.2,▼,-20.0,-0.8,-9.0,934.0
54,2020-06-20,24.7,12,-0.7,▼,-21.0,-2.8,-4.0,946.0
55,2020-06-21,25.2,17,0.5,▲,-20.0,2.0,5.0,963.0
56,2020-06-22,25.7,16,0.5,▲,-19.0,2.0,-1.0,979.0
57,2020-06-23,28.4,22,2.7,▲,-18.0,10.5,6.0,1001.0
58,2020-06-24,28.2,21,-0.2,▼,-19.0,-0.7,-1.0,1022.0
59,2020-06-25,28.9,19,0.7,▲,-18.0,2.5,-2.0,1041.0
60,2020-06-26,28.8,11,-0.1,▼,-19.0,-0.3,-8.0,1052.0
61,2020-06-27,28.6,14,-0.2,▼,-20.0,-0.7,3.0,1066.0
62,2020-06-28,26.6,20,-2.0,▼,-21.0,-7.0,6.0,1086.0
63,2020-06-29,27.6,11,1.0,▲,-20.0,3.8,-9.0,1097.0
64,2020-06-30,27.6,6,0.0,-,-20.0,0.0,-5.0,1103.0
65,2020-07-01,27.3,20,-0.3,▼,-21.0,-1.1,14.0,1123.0
66,2020-07-02,27.5,16,0.2,▲,-20.0,0.7,-4.0,1139.0
67,2020-07-03,27.8,16,0.3,▲,-19.0,1.1,0.0,1155.0
68,2020-07-04,27.5,17,-0.3,▼,-20.0,-1.1,1.0,1172.0
69,2020-07-05,27.5,16,0.0,-,-20.0,0.0,-1.0,1188.0
70,2020-07-06,27.7,6,0.2,▲,-19.0,0.7,-10.0,1194.0
71,2020-07-07,27.6,5,-0.1,▼,-20.0,-0.4,-1.0,1199.0
72,2020-07-08,26.3,24,-1.3,▼,-21.0,-4.7,19.0,1223.0
73,2020-07-09,26.4,9,0.1,▲,-20.0,0.4,-15.0,1232.0
74,2020-07-10,26.9,12,0.5,▲,-19.0,1.9,3.0,1244.0
75,2020-07-11,27.0,22,0.1,▲,-18.0,0.4,10.0,1266.0
76,2020-07-12,27.4,25,0.4,▲,-17.0,1.5,3.0,1291.0
77,2020-07-13,28.4,20,1.0,▲,-16.0,3.6,-5.0,1311.0
78,2020-07-14,28.9,11,0.5,▲,-15.0,1.8,-9.0,1322.0
79,2020-07-15,29.4,17,0.5,▲,-14.0,1.7,6.0,1339.0
80,2020-07-16,30.0,15,0.6,▲,-13.0,2.0,-2.0,1354.0
81,2020-07-17,30.2,21,0.2,▲,-12.0,0.7,6.0,1375.0
82,2020-07-18,30.5,13,0.3,▲,-11.0,1.0,-8.0,1388.0
83,2020-07-19,30.1,10,-0.4,▼,-12.0,-1.3,-3.0,1398.0
84,2020-07-20,29.1,12,-1.0,▼,-13.0,-3.3,2.0,1410.0
85,2020-07-21,28.9,17,-0.2,▼,-14.0,-0.7,5.0,1427.0
86,2020-07-22,28.8,11,-0.1,▼,-15.0,-0.3,-6.0,1438.0
87,2020-07-23,29.5,13,0.7,▲,-14.0,2.4,2.0,1451.0
88,2020-07-24,29.7,16,0.2,▲,-13.0,0.7,3.0,1467.0
89,2020-07-25,29.7,11,0.0,-,-13.0,0.0,-5.0,1478.0
90,2020-07-26,32.4,18,2.7,▲,-12.0,9.1,7.0,1496.0
91,2020-07-27,33.0,8,0.6,▲,-11.0,1.9,-10.0,1504.0
92,2020-07-28,32.4,7,-0.6,▼,-12.0,-1.8,-1.0,1511.0
93,2020-07-29,32.2,14,-0.2,▼,-13.0,-0.6,7.0,1525.0
94,2020-07-30,32.6,13,0.4,▲,-12.0,1.2,-1.0,1538.0
95,2020-07-31,30.1,17,-2.5,▼,-13.0,-7.7,4.0,1555.0
96,2020-08-01,28.9,12,-1.2,▼,-14.0,-4.0,-5.0,1567.0
97,2020-08-02,29.0,24,0.1,▲,-13.0,0.3,12.0,1591.0
98,2020-08-03,29.2,22,0.2,▲,-12.0,0.7,-2.0,1613.0
99,2020-08-04,29.7,18,0.5,▲,-11.0,1.7,-4.0,1631.0
100,2020-08-05,30.0,9,0.3,▲,-10.0,1.0,-9.0,1640.0
101,2020-08-06,31.2,13,1.2,▲,-9.0,4.0,4.0,1653.0
102,2020-08-07,31.4,15,0.2,▲,-8.0,0.6,2.0,1668.0
103,2020-08-08,31.9,43,0.5,▲,-7.0,1.6,28.0,1711.0
104,2020-08-09,32.5,22,0.6,▲,-6.0,1.9,-21.0,1733.0
105,2020-08-10,33.2,17,0.7,▲,-5.0,2.2,-5.0,1750.0
