,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-04-07,8.3,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-04-08,8.1,1,-0.2,▼,-1.0,-2.4,-2.0,1.0
2,2020-04-09,8.2,32,0.1,▲,0.0,1.2,31.0,33.0
3,2020-04-15,8.1,47,-0.1,▼,-1.0,-1.2,15.0,80.0
4,2020-04-19,7.9,1,-0.2,▼,-2.0,-2.5,-46.0,81.0
5,2020-04-20,8.7,10,0.8,▲,-1.0,10.1,9.0,91.0
6,2020-04-22,8.6,12,-0.1,▼,-2.0,-1.1,2.0,103.0
7,2020-04-25,7.6,1,-1.0,▼,-3.0,-11.6,-11.0,104.0
8,2020-04-26,7.7,10,0.1,▲,-2.0,1.3,9.0,114.0
9,2020-04-27,6.9,2,-0.8,▼,-3.0,-10.4,-8.0,116.0
10,2020-04-28,6.3,16,-0.6,▼,-4.0,-8.7,14.0,132.0
11,2020-04-29,6.5,13,0.2,▲,-3.0,3.2,-3.0,145.0
12,2020-05-03,6.5,3,0.0,-,-3.0,0.0,-10.0,148.0
13,2020-05-04,5.7,12,-0.8,▼,-4.0,-12.3,9.0,160.0
14,2020-05-06,6.3,1,0.6,▲,-3.0,10.5,-11.0,161.0
15,2020-05-08,6.1,1,-0.2,▼,-4.0,-3.2,0.0,162.0
16,2020-05-11,6.2,10,0.1,▲,-3.0,1.6,9.0,172.0
17,2020-05-12,6.8,10,0.6,▲,-2.0,9.7,0.0,182.0
18,2020-05-15,7.0,1,0.2,▲,-1.0,2.9,-9.0,183.0
19,2020-05-18,6.2,2,-0.8,▼,-2.0,-11.4,1.0,185.0
20,2020-05-20,6.0,16,-0.2,▼,-3.0,-3.2,14.0,201.0
21,2020-05-23,5.3,44,-0.7,▼,-4.0,-11.7,28.0,245.0
22,2020-05-29,4.9,22,-0.4,▼,-5.0,-7.5,-22.0,267.0
23,2020-05-31,4.9,8,0.0,-,-5.0,0.0,-14.0,275.0
24,2020-06-01,5.1,5,0.2,▲,-4.0,4.1,-3.0,280.0
25,2020-06-02,5.1,4,0.0,-,-4.0,0.0,-1.0,284.0
26,2020-06-04,4.8,12,-0.3,▼,-5.0,-5.9,8.0,296.0
27,2020-06-05,5.2,2,0.4,▲,-4.0,8.3,-10.0,298.0
28,2020-06-07,5.0,11,-0.2,▼,-5.0,-3.8,9.0,309.0
29,2020-06-11,5.0,11,0.0,-,-5.0,0.0,0.0,320.0
30,2020-06-12,5.0,10,0.0,-,-5.0,0.0,-1.0,330.0
31,2020-06-13,5.1,6,0.1,▲,-4.0,2.0,-4.0,336.0
32,2020-06-14,5.1,10,0.0,-,-4.0,0.0,4.0,346.0
33,2020-06-16,5.1,16,0.0,-,-4.0,0.0,6.0,362.0
34,2020-06-21,5.6,27,0.5,▲,-3.0,9.8,11.0,389.0
35,2020-06-23,5.6,1,0.0,-,-3.0,0.0,-26.0,390.0
36,2020-06-25,5.8,7,0.2,▲,-2.0,3.6,6.0,397.0
37,2020-06-27,5.6,7,-0.2,▼,-3.0,-3.4,0.0,404.0
