,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,,2,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,7.5,2,,▲,1.0,,0.0,2.0
2,2020-02-13,7.3,1,-0.2,▼,0.0,-2.7,-1.0,3.0
3,2020-02-14,8.0,7,0.7,▲,1.0,9.6,6.0,10.0
4,2020-02-15,8.2,2,0.2,▲,2.0,2.5,-5.0,12.0
5,2020-02-16,8.1,2,-0.1,▼,1.0,-1.2,0.0,14.0
6,2020-02-17,8.3,3,0.2,▲,2.0,2.5,1.0,17.0
7,2020-02-18,8.7,3,0.4,▲,3.0,4.8,0.0,20.0
8,2020-02-19,8.7,1,0.0,-,3.0,0.0,-2.0,21.0
9,2020-02-20,8.7,3,0.0,-,3.0,0.0,2.0,24.0
10,2020-02-21,8.6,6,-0.1,▼,2.0,-1.1,3.0,30.0
11,2020-02-22,8.5,5,-0.1,▼,1.0,-1.2,-1.0,35.0
12,2020-02-23,8.6,3,0.1,▲,2.0,1.2,-2.0,38.0
13,2020-02-24,8.3,3,-0.3,▼,1.0,-3.5,0.0,41.0
14,2020-02-25,8.3,6,0.0,-,1.0,0.0,3.0,47.0
15,2020-02-26,8.3,7,0.0,-,1.0,0.0,1.0,54.0
16,2020-02-27,7.5,6,-0.8,▼,0.0,-9.6,-1.0,60.0
17,2020-02-28,7.1,6,-0.4,▼,-1.0,-5.3,0.0,66.0
18,2020-02-29,7.3,7,0.2,▲,0.0,2.8,1.0,73.0
19,2020-03-01,6.9,5,-0.4,▼,-1.0,-5.5,-2.0,78.0
20,2020-03-02,6.9,8,0.0,-,-1.0,0.0,3.0,86.0
21,2020-03-03,7.6,3,0.7,▲,0.0,10.1,-5.0,89.0
22,2020-03-04,7.6,7,0.0,-,0.0,0.0,4.0,96.0
23,2020-03-05,7.8,3,0.2,▲,1.0,2.6,-4.0,99.0
24,2020-03-06,8.0,4,0.2,▲,2.0,2.6,1.0,103.0
25,2020-03-07,8.4,8,0.4,▲,3.0,5.0,4.0,111.0
26,2020-03-08,8.3,9,-0.1,▼,2.0,-1.2,1.0,120.0
27,2020-03-09,8.6,4,0.3,▲,3.0,3.6,-5.0,124.0
28,2020-03-10,8.5,6,-0.1,▼,2.0,-1.2,2.0,130.0
29,2020-03-11,8.8,3,0.3,▲,3.0,3.5,-3.0,133.0
30,2020-03-12,8.4,2,-0.4,▼,2.0,-4.5,-1.0,135.0
31,2020-03-13,8.1,4,-0.3,▼,1.0,-3.6,2.0,139.0
32,2020-03-14,7.4,5,-0.7,▼,0.0,-8.6,1.0,144.0
33,2020-03-15,7.8,2,0.4,▲,1.0,5.4,-3.0,146.0
34,2020-03-16,7.5,5,-0.3,▼,0.0,-3.8,3.0,151.0
35,2020-03-17,7.7,3,0.2,▲,1.0,2.7,-2.0,154.0
36,2020-03-18,8.1,5,0.4,▲,2.0,5.2,2.0,159.0
37,2020-03-20,8.5,16,0.4,▲,3.0,4.9,11.0,175.0
38,2020-03-21,7.9,1,-0.6,▼,2.0,-7.1,-15.0,176.0
