,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,40.4,17,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,40.4,12,0.0,-,0.0,0.0,-5.0,12.0
2,2020-01-15,41.4,14,1.0,▲,1.0,2.5,2.0,26.0
3,2020-01-16,42.8,6,1.4,▲,2.0,3.4,-8.0,32.0
4,2020-01-17,41.3,14,-1.5,▼,1.0,-3.5,8.0,46.0
5,2020-01-18,42.1,20,0.8,▲,2.0,1.9,6.0,66.0
6,2020-01-19,41.5,12,-0.6,▼,1.0,-1.4,-8.0,78.0
7,2020-01-20,41.1,15,-0.4,▼,0.0,-1.0,3.0,93.0
8,2020-01-21,40.3,11,-0.8,▼,-1.0,-1.9,-4.0,104.0
9,2020-01-22,41.3,10,1.0,▲,0.0,2.5,-1.0,114.0
10,2020-01-23,40.5,13,-0.8,▼,-1.0,-1.9,3.0,127.0
11,2020-01-24,41.6,22,1.1,▲,0.0,2.7,9.0,149.0
12,2020-01-25,40.9,12,-0.7,▼,-1.0,-1.7,-10.0,161.0
13,2020-01-26,41.8,13,0.9,▲,0.0,2.2,1.0,174.0
14,2020-01-27,42.7,7,0.9,▲,1.0,2.2,-6.0,181.0
15,2020-01-28,44.2,8,1.5,▲,2.0,3.5,1.0,189.0
16,2020-01-29,43.5,14,-0.7,▼,1.0,-1.6,6.0,203.0
17,2020-01-30,45.2,12,1.7,▲,2.0,3.9,-2.0,215.0
18,2020-01-31,43.7,15,-1.5,▼,1.0,-3.3,3.0,230.0
19,2020-02-01,43.6,24,-0.1,▼,0.0,-0.2,9.0,254.0
20,2020-02-02,43.4,19,-0.2,▼,-1.0,-0.5,-5.0,273.0
21,2020-02-03,44.1,17,0.7,▲,0.0,1.6,-2.0,290.0
22,2020-02-04,43.1,19,-1.0,▼,-1.0,-2.3,2.0,309.0
23,2020-02-05,44.1,20,1.0,▲,0.0,2.3,1.0,329.0
24,2020-02-06,43.8,11,-0.3,▼,-1.0,-0.7,-9.0,340.0
25,2020-02-07,42.3,9,-1.5,▼,-2.0,-3.4,-2.0,349.0
26,2020-02-08,40.8,8,-1.5,▼,-3.0,-3.5,-1.0,357.0
27,2020-02-09,39.8,8,-1.0,▼,-4.0,-2.5,0.0,365.0
28,2020-02-10,38.7,8,-1.1,▼,-5.0,-2.8,0.0,373.0
29,2020-02-11,37.2,21,-1.5,▼,-6.0,-3.9,13.0,394.0
30,2020-02-12,37.4,29,0.2,▲,-5.0,0.5,8.0,423.0
31,2020-02-13,37.7,13,0.3,▲,-4.0,0.8,-16.0,436.0
32,2020-02-14,38.0,9,0.3,▲,-3.0,0.8,-4.0,445.0
33,2020-02-15,38.6,38,0.6,▲,-2.0,1.6,29.0,483.0
34,2020-02-16,39.6,31,1.0,▲,-1.0,2.6,-7.0,514.0
35,2020-02-17,40.0,20,0.4,▲,0.0,1.0,-11.0,534.0
36,2020-02-18,40.2,30,0.2,▲,1.0,0.5,10.0,564.0
37,2020-02-19,41.8,13,1.6,▲,2.0,4.0,-17.0,577.0
38,2020-02-20,41.8,22,0.0,-,2.0,0.0,9.0,599.0
39,2020-02-21,42.6,15,0.8,▲,3.0,1.9,-7.0,614.0
40,2020-02-22,42.0,21,-0.6,▼,2.0,-1.4,6.0,635.0
41,2020-02-23,41.6,25,-0.4,▼,1.0,-1.0,4.0,660.0
42,2020-02-24,40.7,15,-0.9,▼,0.0,-2.2,-10.0,675.0
43,2020-02-25,40.4,13,-0.3,▼,-1.0,-0.7,-2.0,688.0
44,2020-02-26,39.1,19,-1.3,▼,-2.0,-3.2,6.0,707.0
45,2020-02-27,39.8,9,0.7,▲,-1.0,1.8,-10.0,716.0
46,2020-02-28,40.2,14,0.4,▲,0.0,1.0,5.0,730.0
47,2020-02-29,39.6,11,-0.6,▼,-1.0,-1.5,-3.0,741.0
48,2020-03-01,39.6,10,0.0,-,-1.0,0.0,-1.0,751.0
49,2020-03-02,40.0,9,0.4,▲,0.0,1.0,-1.0,760.0
50,2020-03-03,39.3,13,-0.7,▼,-1.0,-1.7,4.0,773.0
51,2020-03-04,39.3,16,0.0,-,-1.0,0.0,3.0,789.0
52,2020-03-05,39.2,8,-0.1,▼,-2.0,-0.3,-8.0,797.0
53,2020-03-06,39.9,16,0.7,▲,-1.0,1.8,8.0,813.0
54,2020-03-07,40.0,26,0.1,▲,0.0,0.3,10.0,839.0
55,2020-03-08,39.6,29,-0.4,▼,-1.0,-1.0,3.0,868.0
56,2020-03-09,39.4,16,-0.2,▼,-2.0,-0.5,-13.0,884.0
57,2020-03-10,38.1,19,-1.3,▼,-3.0,-3.3,3.0,903.0
