,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-10-29,183.8,32,0.0,-,0.0,0.0,0.0,0.0
1,2020-10-30,184.3,24,0.5,▲,1.0,0.3,-8.0,24.0
2,2020-10-31,181.4,27,-2.9,▼,0.0,-1.6,3.0,51.0
3,2020-11-01,181.4,25,0.0,-,0.0,0.0,-2.0,76.0
4,2020-11-02,180.3,21,-1.1,▼,-1.0,-0.6,-4.0,97.0
5,2020-11-03,180.2,24,-0.1,▼,-2.0,-0.1,3.0,121.0
6,2020-11-04,175.8,13,-4.4,▼,-3.0,-2.4,-11.0,134.0
7,2020-11-05,176.3,18,0.5,▲,-2.0,0.3,5.0,152.0
8,2020-11-06,176.3,20,0.0,-,-2.0,0.0,2.0,172.0
9,2020-11-07,176.0,29,-0.3,▼,-3.0,-0.2,9.0,201.0
10,2020-11-08,175.5,33,-0.5,▼,-4.0,-0.3,4.0,234.0
11,2020-11-09,180.4,14,4.9,▲,-3.0,2.8,-19.0,248.0
12,2020-11-10,182.4,16,2.0,▲,-2.0,1.1,2.0,264.0
13,2020-11-11,182.3,21,-0.1,▼,-3.0,-0.1,5.0,285.0
14,2020-11-12,184.3,18,2.0,▲,-2.0,1.1,-3.0,303.0
15,2020-11-13,183.3,25,-1.0,▼,-3.0,-0.5,7.0,328.0
16,2020-11-14,184.4,21,1.1,▲,-2.0,0.6,-4.0,349.0
17,2020-11-15,184.9,24,0.5,▲,-1.0,0.3,3.0,373.0
18,2020-11-16,184.0,21,-0.9,▼,-2.0,-0.5,-3.0,394.0
19,2020-11-17,181.0,20,-3.0,▼,-3.0,-1.6,-1.0,414.0
20,2020-11-18,181.9,16,0.9,▲,-2.0,0.5,-4.0,430.0
21,2020-11-19,177.9,8,-4.0,▼,-3.0,-2.2,-8.0,438.0
22,2020-11-20,174.5,12,-3.4,▼,-4.0,-1.9,4.0,450.0
23,2020-11-21,173.5,25,-1.0,▼,-5.0,-0.6,13.0,475.0
24,2020-11-22,176.5,13,3.0,▲,-4.0,1.7,-12.0,488.0
25,2020-11-23,173.5,21,-3.0,▼,-5.0,-1.7,8.0,509.0
26,2020-11-24,175.5,21,2.0,▲,-4.0,1.2,0.0,530.0
27,2020-11-25,176.9,13,1.4,▲,-3.0,0.8,-8.0,543.0
28,2020-11-26,175.9,17,-1.0,▼,-4.0,-0.6,4.0,560.0
29,2020-11-27,175.4,6,-0.5,▼,-5.0,-0.3,-11.0,566.0
30,2020-11-28,178.5,15,3.1,▲,-4.0,1.8,9.0,581.0
31,2020-11-29,177.5,12,-1.0,▼,-5.0,-0.6,-3.0,593.0
32,2020-11-30,178.5,19,1.0,▲,-4.0,0.6,7.0,612.0
33,2020-12-01,180.9,7,2.4,▲,-3.0,1.3,-12.0,619.0
34,2020-12-02,181.4,15,0.5,▲,-2.0,0.3,8.0,634.0
35,2020-12-03,178.3,11,-3.1,▼,-3.0,-1.7,-4.0,645.0
36,2020-12-04,180.8,13,2.5,▲,-2.0,1.4,2.0,658.0
37,2020-12-05,182.8,15,2.0,▲,-1.0,1.1,2.0,673.0
38,2020-12-06,184.4,24,1.6,▲,0.0,0.9,9.0,697.0
39,2020-12-07,187.3,12,2.9,▲,1.0,1.6,-12.0,709.0
40,2020-12-08,191.9,9,4.6,▲,2.0,2.5,-3.0,718.0
41,2020-12-09,194.3,12,2.4,▲,3.0,1.3,3.0,730.0
42,2020-12-10,192.3,22,-2.0,▼,2.0,-1.0,10.0,752.0
43,2020-12-11,194.1,13,1.8,▲,3.0,0.9,-9.0,765.0
44,2020-12-12,194.0,19,-0.1,▼,2.0,-0.1,6.0,784.0
45,2020-12-13,194.0,28,0.0,-,2.0,0.0,9.0,812.0
46,2020-12-14,191.1,22,-2.9,▼,1.0,-1.5,-6.0,834.0
47,2020-12-15,194.1,10,3.0,▲,2.0,1.6,-12.0,844.0
48,2020-12-16,190.3,20,-3.8,▼,1.0,-2.0,10.0,864.0
49,2020-12-17,183.5,15,-6.8,▼,0.0,-3.6,-5.0,879.0
