,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-07-07,,30,0.0,-,0.0,0.0,0.0,0.0
1,2021-07-08,,40,,▲,1.0,,10.0,40.0
2,2021-07-09,,67,,▲,2.0,,27.0,107.0
3,2021-07-10,,67,,▲,3.0,,0.0,174.0
4,2021-07-11,32.6,64,,▲,4.0,,-3.0,238.0
5,2021-07-12,31.1,49,-1.5,▼,3.0,-4.6,-15.0,287.0
6,2021-07-13,29.0,28,-2.1,▼,2.0,-6.8,-21.0,315.0
7,2021-07-14,26.9,54,-2.1,▼,1.0,-7.2,26.0,369.0
8,2021-07-15,25.3,48,-1.6,▼,0.0,-5.9,-6.0,417.0
9,2021-07-16,23.4,27,-1.9,▼,-1.0,-7.5,-21.0,444.0
10,2021-07-17,22.7,35,-0.7,▼,-2.0,-3.0,8.0,479.0
11,2021-07-18,22.5,37,-0.2,▼,-3.0,-0.9,2.0,516.0
12,2021-07-19,22.7,21,0.2,▲,-2.0,0.9,-16.0,537.0
13,2021-07-20,23.1,24,0.4,▲,-1.0,1.8,3.0,561.0
14,2021-07-21,23.8,24,0.7,▲,0.0,3.0,0.0,585.0
15,2021-07-22,23.3,24,-0.5,▼,-1.0,-2.1,0.0,609.0
16,2021-07-23,22.5,42,-0.8,▼,-2.0,-3.4,18.0,651.0
17,2021-07-24,22.3,30,-0.2,▼,-3.0,-0.9,-12.0,681.0
18,2021-07-25,21.4,29,-0.9,▼,-4.0,-4.0,-1.0,710.0
19,2021-07-26,20.7,22,-0.7,▼,-5.0,-3.3,-7.0,732.0
20,2021-07-27,20.4,15,-0.3,▼,-6.0,-1.4,-7.0,747.0
21,2021-07-28,20.2,10,-0.2,▼,-7.0,-1.0,-5.0,757.0
22,2021-07-29,19.8,24,-0.4,▼,-8.0,-2.0,14.0,781.0
23,2021-07-30,19.6,19,-0.2,▼,-9.0,-1.0,-5.0,800.0
24,2021-07-31,19.3,26,-0.3,▼,-10.0,-1.5,7.0,826.0
25,2021-08-01,19.0,17,-0.3,▼,-11.0,-1.6,-9.0,843.0
26,2021-08-02,19.0,22,0.0,-,-11.0,0.0,5.0,865.0
27,2021-08-03,18.6,23,-0.4,▼,-12.0,-2.1,1.0,888.0
28,2021-08-04,18.5,14,-0.1,▼,-13.0,-0.5,-9.0,902.0
29,2021-08-05,18.2,34,-0.3,▼,-14.0,-1.6,20.0,936.0
30,2021-08-06,18.2,25,0.0,-,-14.0,0.0,-9.0,961.0
31,2021-08-07,17.7,23,-0.5,▼,-15.0,-2.7,-2.0,984.0
32,2021-08-08,17.6,25,-0.1,▼,-16.0,-0.6,2.0,1009.0
33,2021-08-09,17.6,24,0.0,-,-16.0,0.0,-1.0,1033.0
34,2021-08-10,17.8,18,0.2,▲,-15.0,1.1,-6.0,1051.0
35,2021-08-11,17.6,30,-0.2,▼,-16.0,-1.1,12.0,1081.0
36,2021-08-12,17.8,25,0.2,▲,-15.0,1.1,-5.0,1106.0
37,2021-08-13,17.6,27,-0.2,▼,-16.0,-1.1,2.0,1133.0
38,2021-08-14,17.7,22,0.1,▲,-15.0,0.6,-5.0,1155.0
39,2021-08-15,17.6,26,-0.1,▼,-16.0,-0.6,4.0,1181.0
40,2021-08-16,17.7,20,0.1,▲,-15.0,0.6,-6.0,1201.0
41,2021-08-17,17.7,18,0.0,-,-15.0,0.0,-2.0,1219.0
42,2021-08-18,18.1,13,0.4,▲,-14.0,2.3,-5.0,1232.0
